1;SK0101528595;Bratislava - mestská časť Staré Mesto;Bratislava-Staré Mesto;Bratislava-Staré Mesto;528595
2;SK0102529311;Bratislava - mestská časť Podunajské Biskupice;Bratislava-Podunajské Biskupice;Bratislava-Pod.Biskup.;529311
3;SK0102529320;Bratislava - mestská časť Ružinov;Bratislava-Ružinov;Bratislava-Ružinov;529320
4;SK0102529338;Bratislava - mestská časť Vrakuňa;Bratislava-Vrakuňa;Bratislava-Vrakuňa;529338
5;SK0103529346;Bratislava - mestská časť Nové Mesto;Bratislava-Nové Mesto;Bratislava-Nové Mesto;529346
6;SK0103529354;Bratislava - mestská časť Rača;Bratislava-Rača;Bratislava-Rača;529354
7;SK0103529362;Bratislava - mestská časť Vajnory;Bratislava-Vajnory;Bratislava-Vajnory;529362
8;SK0104529371;Bratislava - mestská časť Devínska Nová Ves;Bratislava-Devínska Nová Ves;Bratislava-Dev.Nová Ves;529371
9;SK0104529389;Bratislava - mestská časť Dúbravka;Bratislava-Dúbravka;Bratislava-Dúbravka;529389
10;SK0104529397;Bratislava - mestská časť Karlova Ves;Bratislava-Karlova Ves;Bratislava-Karlova Ves;529397
11;SK0104529401;Bratislava - mestská časť Devín;Bratislava-Devín;Bratislava-Devín;529401
12;SK0104529419;Bratislava - mestská časť Lamač;Bratislava-Lamač;Bratislava-Lamač;529419
13;SK0104529427;Bratislava - mestská časť Záhorská Bystrica;Bratislava-Záhorská Bystrica;Bratislava-Záhor.Bystr.;529427
14;SK0105529435;Bratislava - mestská časť Čunovo;Bratislava-Čunovo;Bratislava-Čunovo;529435
15;SK0105529443;Bratislava - mestská časť Jarovce;Bratislava-Jarovce;Bratislava-Jarovce;529443
16;SK0105529460;Bratislava - mestská časť Petržalka;Bratislava-Petržalka;Bratislava-Petržalka;529460
17;SK0105529494;Bratislava - mestská časť Rusovce;Bratislava-Rusovce;Bratislava-Rusovce;529494
18;SK0106500267;Záhorie (vojenský obvod);Záhorie;Záhorie (voj.obvod);500267
19;SK0106504556;Malé Leváre;Malé Leváre;Malé Leváre;504556
20;SK0106504629;Plavecké Podhradie;Plavecké Podhradie;Plavecké Podhradie;504629
